Clusters,Accuracy,NMI,ARI,DBCV
17,0.6910299003322259,0.8460751063914964,0.565093056987575,-0.3547139266803798
18,0.72782874617737,0.8699669426925809,0.6275726291933791,-0.17755428244446927
18,0.7053824362606232,0.8484362509361695,0.6058780010448656,-0.11954271225325984
17,0.6900584795321637,0.849424429504129,0.5882105772340996,-0.12270881277559441
18,0.7292307692307692,0.8860344473836863,0.6653427421869942,-0.2717338317200795
19,0.7636887608069164,0.8759314485942575,0.6792853269956508,-0.10953567316109368
18,0.7071240105540897,0.8561211686307212,0.6385293760149219,-0.08383942015831718
19,0.738544474393531,0.8657354239107327,0.6565527866410625,-0.11551907896835888
19,0.7372654155495979,0.858938400641611,0.6543964333358252,-0.09210358825083283
19,0.7514450867052023,0.8589552255390172,0.6588410848586783,-0.18177527233309557
19,0.7244897959183674,0.8506734446783392,0.6443269598026579,-0.08558718177567538
19,0.7279596977329975,0.8498143501360444,0.6419582565219469,-0.18849025219558452
19,0.7433155080213903,0.8739409808182654,0.6751177010784282,-0.2286296252715766
20,0.7679558011049724,0.8789312878951328,0.6803666076280828,-0.22566794460966416
19,0.7371273712737128,0.8667922570595769,0.6605781282536655,-0.10341526902946145
19,0.7393617021276596,0.8696521695676972,0.6637120990470842,-0.0822913457209901
19,0.7385786802030457,0.8637122650911946,0.6629804469989135,-0.06533050453754856
19,0.7382920110192838,0.8587157947371594,0.662432571256498,-0.08674520085709538
18,0.6997578692493946,0.8377511395937789,0.6185955199417642,-0.05565756028186082
20,0.743455497382199,0.8601477689368734,0.6615109497885068,-0.2174219840116579
