timestamp;tag;duration;package_0;package_1;dram_0;dram_1;nvidia_gpu_0;nvidia_gpu_1;nvidia_gpu_2;nvidia_gpu_3
1683215324.8605096;training;92.2958722114563;7447198892.0;8622024498.0;767339676.0;897394649.0;5752116;16390908;12681792;9654712
1683215417.168362;training;84.33924341201782;6845434014.0;7967010000.0;712488610.0;833727539.0;5247781;16774480;10821481;9820161
1683215501.5213635;training;83.58779382705688;6854537445.0;7846204156.0;724509973.0;822997771.0;5191620;16783965;10463419;10004370
1683215585.1206074;training;83.73650336265564;6799129750.0;7903345551.0;700169401.0;840269910.0;5215639;16671715;10576020;10079932
1683215668.8704486;training;82.36692428588867;6727389394.0;7744862070.0;-65011310111.0;817225663.0;5120520;16362876;10216847;9950158
1683215751.2579198;training;79.50288963317871;6503990613.0;7418206656.0;690666618.0;797973657.0;4952248;16041662;9174074;9848492
1683215830.7720864;training;75.75801944732666;6386525826.0;6996450168.0;694085494.0;749494185.0;4706491;15231252;8701721;9630078
1683215906.542913;training;75.10347533226013;6361558483.0;6874356364.0;704998694.0;727583605.0;4678510;15328387;8577757;9648715
1683215981.6586316;training;75.64150285720825;6305975190.0;7020813508.0;684102887.0;755507712.0;4686981;15281477;8728114;9618390
1683216057.3139458;training;75.95942497253418;6369119071.0;6990929308.0;701313214.0;744534338.0;4725031;15384939;8760480;9760591
1683216133.2877662;training;75.3855504989624;6304734653.0;6987646418.0;687019037.0;747151954.0;4677583;15253962;8448391;9618494
1683216208.6881695;training;75.91242718696594;6388199955.0;6977437521.0;705459469.0;731178065.0;4715652;15535335;8284001;9630815
1683216284.611566;training;76.54693818092346;6413061646.0;7085531055.0;702212396.0;751763618.0;4763211;15428335;8740723;9720178
1683216361.1720536;training;85.03023099899292;7107496515.0;7830707187.0;757474940.0;816555691.0;5288066;17118707;10687469;10255447
1683216446.2183776;training;81.58273029327393;6887269173.0;7481587963.0;755085860.0;765013173.0;5075017;16366480;10009775;9981671
1683216527.81565;training;83.36160445213318;7077068797.0;7580807009.0;769113191.0;772062236.0;5185462;16798000;10485350;10146855
1683216611.1883786;training;82.86185431480408;7127085575.0;7457169814.0;782194844.0;-64958252832.0;5148234;16680944;10592446;10161054
1683216694.0634544;training;82.62702965736389;7207815532.0;7358190696.0;791763663.0;736963606.0;5151272;16493340;10015245;10178517
1683216776.7033513;training;85.93810534477234;7407885577.0;7681780749.0;792162748.0;768937562.0;5327161;16020988;10519193;10355849
1683216862.6535802;training;78.24933171272278;6776798997.0;6995356908.0;748822515.0;704752685.0;4861067;14672711;8346102;9788919
